Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,Year,Honor Code Certificates,Participants (Course Content Accessed),Audited (> 50% Course Content Accessed),Certified,% Audited,% Certified,% Certified of > 50% Course Content Accessed,% Played Video,% Posted in Forum,% Grade Higher Than Zero,Total Course Hours (Thousands),Median Hours for Certification,Median Age,% Male,% Female,% Bachelor's Degree or Higher
HarvardX,PH557x,12/03/2015,Lessons from Ebola: Preventing the Next Pandemic,Ashish Jha,"Government, Health, and Social Science",4,1,3072,1479,616,48.14,20.05,41.65,70.54,14.71,39.62,14.21,12.82,27,45.49,54.51,70.64
MITx,8.421.4x,12/14/2015,Atomic and Optical Physics: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",4,1,658,221,48,33.59,7.29,21.72,47.57,5.93,18.54,3.88,42.5,26,85.01,14.99,71.48
HarvardX,PH525.3x,12/15/2015,Data Analysis for Genomics: Statistical Inference and Modeling for High-throughput Experiments,Rafael Irizarry,"Government, Health, and Social Science",4,1,2379,1192,277,50.11,11.64,23.24,47.88,3.15,11.64,8.89,16.68,29,70.28,29.72,85.62
HarvardX,CS50x,01/01/2016,Introduction to Computer Science (2016),,Computer Science,4,1,168335,10245,417,6.09,0.25,2.93,69.02,0,0,708.69,0,23,77.44,22.56,49.51
MITx,6.302.0x,01/04/2016,Introduction to Feedback Control Theory,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",4,1,8377,3783,127,45.16,1.52,3.36,12.25,2.6,7.09,21.3,42.73,25,92.54,7.46,64.22
HarvardX,HLS2x,01/07/2016,Contracts Law: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",4,1,13798,3365,2231,24.39,16.17,66.3,59.13,24.03,38.35,97.71,28.01,29,60.16,39.84,75.91
MITx,8.MECHCx,01/07/2016,Advanced Introductory Classical Mechanics,"David E. Pritchard, Chris Chudzicki, Zhongzhou Chen","Science, Technology, Engineering, and Mathematics",4,1,5747,303,101,5.27,1.76,33.33,54.76,4.07,8.77,53.1,200.43,23,84.11,15.89,49.44
MITx,6.00.1x,01/13/2016,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",Computer Science,4,1,63658,8805,3744,13.83,5.88,42.52,51.8,7.19,36.31,248.96,17.62,26,81.23,18.77,61.74
HarvardX,PH525.4x,01/15/2016,Data Analysis for Genomics: Introduction to High-Dimensional Data Analysis,Rafael Irizarry,"Government, Health, and Social Science",4,1,2321,1080,193,46.53,8.32,17.87,47.78,2.24,8.32,8.21,16.76,29,72.57,27.43,87.18
MITx,8.421.5x,01/15/2016,Atomic and Optical Physics: Coherence,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",4,1,639,206,26,32.24,4.07,12.62,46.32,3.6,14.71,2.6,37.45,27,85.6,14.4,74.21
HarvardX,PH556x,01/20/2016,Practical Improvement Science in Health Care: A Roadmap for Getting Results,"Don Goldmann, Dave Williams, Don Berwick","Government, Health, and Social Science",4,1,6792,2767,903,40.74,13.3,32.63,57.14,35.28,44.38,19.79,9.39,40,37.24,62.76,91.03
HarvardX,MUS24x,01/21/2016,First Nights: Beethoven's 9th Symphony,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,1,4237,2302,587,54.33,13.85,25.5,79.75,5.15,25.96,19.23,11.85,31,59.95,40.05,68.39
HarvardX,PH231x,01/25/2016,Readings in Global Health,David Hunter,"Government, Health, and Social Science",4,1,5309,1094,419,20.61,7.89,38.3,64.23,6.33,28.12,29.9,37.04,31,44.81,55.19,83.58
MITx,LAUNCH.x,01/25/2016,Becoming an Entrepreneur,Laurie Stach,"Government, Health, and Social Science",4,0,18183,3805,239,20.93,1.31,6.28,70.58,15.71,38.4,45.76,16.21,27,76.21,23.79,67.37
MITx,3.054.1x,01/27/2016,"Cellular Solids: Structures, Properties and Engineering Applications",Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,2456,403,99,16.41,4.03,24.57,55.82,4.11,10.34,16.98,73.52,26,79.53,20.47,72.65
MITx,11.132x,01/27/2016,Design and Development of Educational Technology,"Eric Klopfer, Scot Osterweil, Judy Perry","Humanities, History, Design, Religion, and Education",4,0,8405,2152,160,25.6,1.9,7.43,59.88,0,17.13,28.24,31.36,32,59.5,40.5,83.34
MITx,21W.789x,02/01/2016,Mobile Application Experiences: From a Domain to an App Idea,"Frank Bentley, Ed Barrett",Computer Science,4,0,16407,3058,23,18.64,0.14,0.75,62.13,5.18,9.72,27.77,22.17,28,80.16,19.84,68.29
MITx,6.041x,02/02/2016,Introduction to Probability: The Science of Uncertainty,"John Tsitsiklis, Patrick Jaillet, Aliaa Atwi, Dimitri Bertsekas, Qing He, Jimmy Li, Jagdish Ramakrishnan, Katie Szeto, Kuang Xu","Science, Technology, Engineering, and Mathematics",4,0,17354,1830,136,10.55,0.78,7.43,67.28,3.09,12.22,269.33,212.83,27,83.52,16.48,72.77
MITx,16.110x,02/09/2016,Flight Vehicle Aerodynamics,"Mark Drela, Alejandra Uranga","Science, Technology, Engineering, and Mathematics",4,1,9788,257,58,2.63,0.59,22.18,40.32,1.2,2.05,28.77,160.04,22,89.61,10.39,54.22
MITx,CTL.SC1x,02/10/2016,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",4,1,18686,4844,2471,25.92,13.22,51.01,80.21,20.05,33.93,674.4,158,29,77.2,22.8,84.06
HarvardX,PH525.5x,02/15/2016,Data Analysis for Genomics: Introduction to Bioconductor: Annotation and Analysis of Genomes and Genomic Assays,Rafael Irizarry,"Government, Health, and Social Science",4,1,1409,645,120,45.78,8.52,18.6,48.12,3.34,8.52,5.99,21.84,29,68.36,31.64,89
HarvardX,EMC2x,02/16/2016,The Einstein Revolution,Peter Galison,"Humanities, History, Design, Religion, and Education",4,0,5571,425,9,7.63,0.16,2.12,69.22,6.46,13.95,20.91,86.81,27,68.66,31.34,62.59
MITx,12.340x,02/16/2016,Global Warming Science,"Kerry Emanuel, Dan Cziczo, David McGee","Science, Technology, Engineering, and Mathematics",4,0,3842,745,51,19.39,1.33,6.85,57.63,5.36,18.69,25.06,101.75,26,65.37,34.63,67.98
MITx,8.05.1x,02/17/2016,Mastering Quantum Mechanics: Wave Mechanics,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",4,0,8936,1270,55,14.21,0.62,4.33,73.06,5.14,14.67,72.3,111.02,25,86.78,13.22,61.23
MITx,14.73x,02/22/2016,The Challenges of Global Poverty,"Esther Duflo, Abhijit Vinayak Banerjee","Government, Health, and Social Science",4,1,4250,494,296,11.62,6.96,59.72,64.96,6.59,22.45,45.06,85.52,27,54.14,45.86,78.42
HarvardX,SW25x,02/23/2016,Global Health Case Studies from a Biosocial Perspective,"Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker","Government, Health, and Social Science",4,1,4050,691,472,17.06,11.65,68.31,58.47,15.36,33.06,28.87,37.03,27,40.9,59.1,76.79
MITx,21W.789.2x,02/29/2016,Mobile Application Experiences: Mobile App Design,"Frank Bentley, Ed Barrett",Computer Science,4,0,4522,1324,27,29.28,0.6,2.04,54.49,1.81,10.37,5.8,13.11,27,75.3,24.7,72.03
HarvardX,HDS3221.1x,03/01/2016,"World Religions Through their Scriptures: Religious Literacy, Traditions and Scriptures",Diane Moore,"Humanities, History, Design, Religion, and Education",4,0,22153,4897,282,22.11,1.27,5.76,77.24,34.35,1.28,79.36,26.43,39,36.96,63.04,78.46
MITx,6.00.2x,03/02/2016,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag, Ana Bell",Computer Science,4,0,14003,2182,513,15.58,3.66,23.51,64.74,5.99,22.88,144.07,73.23,26,85.3,14.7,72.2
HarvardX,PH525.6x,03/15/2016,Data Analysis for Genomics: High-performance Computing for Reproducible Genomics,Rafael Irizarry,"Government, Health, and Social Science",4,0,1546,502,19,32.47,1.23,3.78,35.12,2.39,1.23,2.99,23.84,28,72.83,27.17,84.66
HarvardX,HLS2x,03/18/2016,Contracts Law: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",4,0,13260,1955,587,14.74,4.43,30.03,64.8,12.55,4.54,50.6,23.64,28,58.53,41.47,73.01
MITx,8.05.2x,03/23/2016,Mastering Quantum Mechanics: Quantum Dynamics,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",4,0,1862,547,40,29.38,2.15,7.31,51.93,5.8,21.8,25.48,93.84,25,89.36,10.64,69.23
MITx,21W.789.3x,03/28/2016,Mobile Application Experiences: Building Mobile Apps,"Frank Bentley, Ed Barrett",Computer Science,4,0,4276,1000,9,23.39,0.21,0.9,52.78,1.29,5,4.28,14.64,25,82.65,17.35,63.35
MITx,15.662x,03/28/2016,Shaping the Future of Work,"Thomas Kochan, Gokce Basbug, Meryam Bukari, Shahid Azad, Kanika Almadi","Government, Health, and Social Science",4,0,2583,446,51,17.27,1.97,11.43,65.51,12.08,19.36,10.78,27.19,30,64.17,35.83,76.56
MITx,18.01.3x,03/29/2016,Calculus: Coordinate Systems and Infinite Series,David Jerison,"Science, Technology, Engineering, and Mathematics",4,1,3749,1206,233,32.17,6.21,19.32,55.75,0.16,22.99,44.72,90.87,25,83.4,16.6,58.93
MITx,7.QBWx,03/29/2016,Quantitative Biology Workshop,"Jeff Gore, Paul Blainey, Eric S. Lander, Ernest Fraenkel, Mary Ellen Wiltrout, Nathaniel Schafheimer","Science, Technology, Engineering, and Mathematics",4,0,3294,552,70,16.76,2.13,12.68,61.51,8.74,31.36,45.41,94.76,27,62.65,37.35,74.65
HarvardX,HDS3221.2x,04/05/2016,World Religions Through their Scriptures: Christianity,Karen King,"Humanities, History, Design, Religion, and Education",4,0,10188,2810,138,27.58,1.35,4.91,75.31,20.95,1.41,37.58,28.9,37,51.04,48.96,73.72
HarvardX,AMPOx.6,04/08/2016,Poetry in America: Modernism,Elisa New,"Humanities, History, Design, Religion, and Education",4,0,3049,759,45,24.89,1.48,5.93,72.94,18.6,1.57,24.48,59.94,36,39.5,60.5,75.44
MITx,3.054.2x,04/08/2016,Cellular Solids: Applications in Medicine,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,510,416,53,81.57,10.39,12.74,47.84,5.1,16.47,2.53,26.52,27,73.36,26.64,73.97
MITx,15.071x,04/12/2016,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair, John Silberholz, Iain Dunning, Angie King, Velibor Misic, Nataly Youssef, Alex Weinstein, Jerry Kung","Government, Health, and Social Science",4,0,33044,5346,1417,16.18,4.29,26.51,71.69,8.73,35.78,710.96,135.79,29,80.37,19.63,85.9
HarvardX,PH525.7x,04/15/2016,Data Analysis for Genomics: Case Studies in Functional Genomics,Rafael Irizarry,"Government, Health, and Social Science",4,0,1716,462,12,26.92,0.7,2.6,48.08,2.68,0.7,5.68,34.33,28,62.38,37.62,84.84
HarvardX,GSE3x,04/19/2016,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,Kathryn Parker Boudett,"Humanities, History, Design, Religion, and Education",4,0,2493,803,63,32.21,2.53,7.85,65.3,29.12,2.61,10.31,16.94,37,35.31,64.69,92.08
MITx,11.405x,04/19/2016,Just Money: Banking as if Society Mattered,"J. Phillip Thompson, Katrin Kaeufer, Lily Steponaitis","Government, Health, and Social Science",4,0,4955,1274,254,25.71,5.13,19.94,61.59,0,20.14,24.76,21.67,34,60.61,39.39,81.85
MITx,21W.789.4x,04/25/2016,Mobile Application Experiences: Understanding Use,"Frank Bentley, Ed Barrett",Computer Science,4,0,664,228,5,34.34,0.75,2.19,43.37,1.2,9.49,0.62,7.38,29,79.28,20.72,77.39
MITx,11.126x,04/27/2016,Introduction to Game Design,"Eric Klopfer, Philp Tan, Sara Verrilli","Humanities, History, Design, Religion, and Education",4,0,9933,923,121,9.29,1.22,13.11,58.4,0,16.3,27.02,27.33,26,76.72,23.28,58.91
MITx,8.05.3x,04/27/2016,Mastering Quantum Mechanics: Entanglement and Angular Momentum,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",4,0,1236,379,35,30.66,2.83,9.23,52.43,6.15,23.38,19.33,103.22,27,91.1,8.9,71.51
HarvardX,MUS24.1x,04/28/2016,First Nights: L'Orfeo,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,0,1199,639,43,53.29,3.59,6.73,78.23,6.42,3.75,4.94,8.01,40,53.63,46.37,78.46
MITx,JPAL101x,05/02/2016,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",4,0,4130,828,166,20.05,4.02,20.05,60.22,7.43,29.64,33.63,47.71,30,49.49,50.51,89.32
HarvardX,HDS3221.3x,05/03/2016,World Religions Through their Scriptures: Buddhism,Charles Hallisey,"Humanities, History, Design, Religion, and Education",4,0,8758,1710,94,19.53,1.07,5.5,71.61,17.32,1.07,25.96,26.27,36,50.28,49.72,75.56
HarvardX,GSE2x,05/11/2016,Leaders of Learning,Richard Elmore,"Humanities, History, Design, Religion, and Education",4,0,9743,1271,202,13.05,2.07,15.89,70.53,14.6,2.12,20.17,14.46,31,48.89,51.11,78.93
MITx,3.054.3x,05/11/2016,Cellular Solids: Applications in Nature,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,362,283,24,78.18,6.63,8.48,45.86,7.18,12.71,1.55,23.31,28,77.21,22.79,80.07
MITx,CTL.SC2x,05/18/2016,Supply Chain Design,"Chris Caplice, Yossi Sheffi, Jarrod Goentzel, James Blayney Rice Jr.","Government, Health, and Social Science",4,0,12455,2814,1510,22.59,12.12,53.66,77.06,17.05,24.23,355.29,142.79,30,77.19,22.81,85.81
MITx,21W.789.5x,05/23/2016,Mobile Application Experiences: Reporting Research Findings,"Frank Bentley, Ed Barrett",Computer Science,4,0,322,187,4,58.07,1.24,2.14,25.78,1.55,1.86,0.11,6.88,29,76.1,23.9,72.45
HarvardX,MCB64.1x,05/25/2016,Cell Biology: Mitochondria,Rob Lue,"Science, Technology, Engineering, and Mathematics",4,0,8297,1933,268,23.3,3.23,13.86,74.58,11.29,3.25,39.56,18.06,28,53.86,46.14,63.2
MITx,3.15.1x,05/25/2016,Electronic Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",4,0,7898,2066,94,26.16,1.19,4.55,56.24,2.14,9.01,28.25,53.65,24,85.28,14.72,56.87
HarvardX,HDS3221.4x,06/01/2016,World Religions Through Their Scriptures: Islam,Ali Asani,"Humanities, History, Design, Religion, and Education",4,0,8695,1663,127,19.13,1.46,7.64,71.71,19.92,1.47,39.83,35.64,31,50.2,49.8,74.37
MITx,7.28.1x1,06/07/2016,Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",4,0,4825,715,92,14.82,1.91,12.87,67.83,5.37,33.49,29.82,49.8,26,54.56,45.44,68.23
MITx,6.00.1x,06/07/2016,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Ana Bell",Computer Science,4,0,21212,3473,947,16.37,4.46,27.24,74.42,8.73,44.23,485.85,119.57,24,80.63,19.37,58.76
HarvardX,ENGSCI137x,06/08/2016,Energy Within Environmental Constraints,David Keith,"Science, Technology, Engineering, and Mathematics",4,0,8017,1515,339,18.9,4.23,22.38,70.89,17.28,29.46,94.63,94.35,27,68.41,31.59,74.91
MITx,10.03x,06/14/2016,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Dr.  Stacy L. Springs, Dr. Paul W. Barone, Betsy Skrip, Nicholas Mozdzierz, Eric Miller","Government, Health, and Social Science",4,0,2604,928,207,35.64,7.95,22.31,70.01,20.01,43.74,17.5,25.22,26,55.66,44.34,72.52
MITx,2.01x,06/22/2016,Elements of Structures,"Simona Socrate, Alexie M. Kolpak","Science, Technology, Engineering, and Mathematics",4,0,4014,515,46,12.83,1.15,8.93,66.87,5.75,11.96,27.31,75.91,25,86.64,13.36,64.59
MITx,LAUNCHx,06/27/2016,Becoming an Entrepreneur,Laurie Stach,"Government, Health, and Social Science",4,0,22959,3969,320,17.29,1.39,8.06,68.26,25.01,26.01,37.86,13.39,27,74.69,25.31,65.51
MITx,6.002.1x,06/28/2016,Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",4,0,12218,1518,18,12.42,0.15,1.19,72.14,2.5,0.15,56.54,74.74,24,85.89,14.11,51.66
MITx,6.002.2x,06/28/2016,"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",4,0,1645,281,2,17.08,0.12,0.71,53.43,1.88,0.12,7.09,45.38,23,88.69,11.31,54.7
MITx,3.15.2x,06/29/2016,Optical Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",4,0,2335,792,65,33.92,2.78,8.21,50.71,4.03,13.83,11.1,41.1,24,82.87,17.13,63.95
HarvardX,HDS3221.5x,07/05/2016,World Religions Through their Scriptures: Hinduism,Neelima Shukla-Bhatt,"Humanities, History, Design, Religion, and Education",4,0,4553,1051,70,23.08,1.54,6.66,73.34,16.65,1.54,18.76,26.74,31,56.97,43.03,74.39
MITx,11.133x,07/14/2016,Implementation and Evaluation of Educational Technology,"Eric Klopfer, Elizabeth Huttner-Loan","Humanities, History, Design, Religion, and Education",4,0,2402,1232,128,51.29,5.33,10.39,59.62,0,24.31,8.59,23.6,34,58.2,41.8,86.84
HarvardX,MUS24.4x,07/21/2016,First Nights: Symphonie Fantastique,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,0,615,305,20,49.59,3.25,6.56,80.81,8.78,3.25,1.71,5.93,38,56.82,43.18,74.66
HarvardX,GSE4x,07/25/2016,Introduction to Family Engagement in Education,Karen Mapp,"Humanities, History, Design, Religion, and Education",4,0,2871,267,20,9.3,0.7,7.49,70.11,0,0.7,4.26,11.33,34,25.24,74.76,82.31
MITx,6.302.0x,08/01/2016,Introduction to Control System Design,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",4,0,3937,974,49,24.74,1.24,5.03,12.27,4.72,8.23,15.62,58.5,24,91.17,8.83,61.32
MITx,6.302.1x,08/01/2016,Introduction to State Space Control,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",4,0,1431,208,8,14.54,0.56,3.85,0,3.84,5.73,3.22,62.38,25,93.44,6.56,72.31
MITx,3.15.3x,08/03/2016,Magnetic Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",4,0,1294,364,38,28.13,2.94,10.44,49.92,4.4,14.3,6.87,40.59,25,85.95,14.05,65.78
